"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","后台添加闪屏","后台管理登录","0","1","2","0","0"
"","登录模块","短信登录成功","0","0","2","0","0"
"","首页模块","首页标签信息列表","0","0","2","0","0"
"","登录模块","错误验证码","0","0","6","0","0"
"","后台添加闪屏","添加闪屏","0","1","1","0","0"
"","登录模块","获取短信接口","2","0","2","0","0"
